INVOICE_ID,SUPPLIER_ID,PURCHASE_ORDER_ID,INVOICE_DATE,AMOUNT_EXCLUDING_TAX,TAX_AMOUNT,TOTAL_AMOUNT,CURRENCY_CODE
13834,4,106,2019-03-04,38472.00,5770.80,44242.80,
13836,7,107,2019-03-04,3910.00,586.50,4496.50,
13842,4,108,2019-03-04,2664.00,399.60,3063.60,
14211,4,109,2019-03-05,43866.00,6579.90,50445.90,
14213,7,110,2019-03-05,4760.00,714.00,5474.00,
14459,4,111,2019-03-06,43848.00,6577.20,50425.20,
14461,7,112,2019-03-06,4080.00,612.00,4692.00,
14878,4,113,2019-03-07,43740.00,6561.00,50301.00,
14880,7,114,2019-03-07,4760.00,714.00,5474.00,
15277,4,115,2019-03-08,46392.00,6958.80,53350.80,
15279,7,116,2019-03-08,4930.00,739.50,5669.50,
15861,4,117,2019-03-11,45744.00,6861.60,52605.60,
15863,7,118,2019-03-11,5440.00,816.00,6256.00,
15865,4,119,2019-03-11,672.00,100.80,772.80,
16202,4,120,2019-03-12,47754.00,7163.10,54917.10,
16204,7,121,2019-03-12,5440.00,816.00,6256.00,
16596,4,122,2019-03-13,49662.00,7449.30,57111.30,
16598,7,123,2019-03-13,4760.00,714.00,5474.00,
16891,4,124,2019-03-14,49566.00,7434.90,57000.90,
16893,7,125,2019-03-14,6630.00,994.50,7624.50,
17288,4,126,2019-03-15,54282.00,8142.30,62424.30,
17290,7,127,2019-03-15,5950.00,892.50,6842.50,
17848,4,128,2019-03-18,56208.00,8431.20,64639.20,
17851,7,129,2019-03-18,5346.80,802.02,6148.82,
17857,4,130,2019-03-18,4524.00,678.60,5202.60,
18039,4,131,2019-03-19,59790.00,8968.50,68758.50,
18041,7,132,2019-03-19,5100.00,765.00,5865.00,
18427,4,133,2019-03-20,62742.00,9411.30,72153.30,
18430,7,134,2019-03-20,5259.20,788.88,6048.08,
18797,4,135,2019-03-21,64620.00,9693.00,74313.00,
18800,7,136,2019-03-21,4809.60,721.44,5531.04,
19195,4,137,2019-03-22,67464.00,10119.60,77583.60,
19198,7,138,2019-03-22,7765.60,1164.84,8930.44,
19667,4,139,2019-03-25,70686.00,10602.90,81288.90,
19670,7,140,2019-03-25,7650.40,1147.56,8797.96,
19672,7,141,2019-03-25,170.00,25.50,195.50,
19972,4,142,2019-03-26,70542.00,10581.30,81123.30,
19975,7,143,2019-03-26,7590.00,1138.50,8728.50,
20181,4,144,2019-03-27,70890.00,10633.50,81523.50,
20184,7,145,2019-03-27,7063.60,1059.54,8123.14,
20583,4,146,2019-03-28,71202.00,10680.30,81882.30,
20586,7,147,2019-03-28,8522.40,1278.36,9800.76,
20767,4,148,2019-03-29,71046.00,10656.90,81702.90,
20770,7,149,2019-03-29,7688.80,1153.32,8842.12,
21065,4,150,2019-04-01,69630.00,10444.50,80074.50,
21068,7,151,2019-04-01,8599.20,1289.88,9889.08,
21073,4,152,2019-04-01,2952.00,442.80,3394.80,
21470,4,153,2019-04-02,72426.00,10863.90,83289.90,
21473,7,154,2019-04-02,9986.80,1498.02,11484.82,
21757,4,155,2019-04-03,73110.00,10966.50,84076.50,
21760,7,156,2019-04-03,10387.20,1558.08,11945.28,
22020,4,157,2019-04-04,74460.00,11169.00,85629.00,
22023,7,158,2019-04-04,10409.20,1561.38,11970.58,
22409,4,159,2019-04-05,76524.00,11478.60,88002.60,
22412,7,160,2019-04-05,11072.80,1660.92,12733.72,
22931,4,161,2019-04-08,79524.00,11928.60,91452.60,
22934,7,162,2019-04-08,12109.20,1816.38,13925.58,
22937,4,163,2019-04-08,912.00,136.80,1048.80,
22939,7,164,2019-04-08,1020.00,153.00,1173.00,
23163,4,165,2019-04-09,81786.00,12267.90,94053.90,
23166,7,166,2019-04-09,11462.00,1719.30,13181.30,
23387,4,167,2019-04-10,84084.00,12612.60,96696.60,
23390,7,168,2019-04-10,12158.40,1823.76,13982.16,
23762,4,169,2019-04-11,85044.00,12756.60,97800.60,
23765,7,170,2019-04-11,11401.60,1710.24,13111.84,
24004,4,171,2019-04-12,85158.00,12773.70,97931.70,
24007,7,172,2019-04-12,12312.00,1846.80,14158.80,
24569,4,173,2019-04-15,88590.00,13288.50,101878.50,
24572,7,174,2019-04-15,11785.60,1767.84,13553.44,
24577,4,175,2019-04-15,2208.00,331.20,2539.20,
24757,4,176,2019-04-16,90474.00,13571.10,104045.10,
24760,7,177,2019-04-16,10535.20,1580.28,12115.48,
25137,4,178,2019-04-17,95376.00,14306.40,109682.40,
25140,7,179,2019-04-17,11423.60,1713.54,13137.14,
25546,4,180,2019-04-18,96600.00,14490.00,111090.00,
25549,7,181,2019-04-18,12125.60,1818.84,13944.44,
25832,4,182,2019-04-19,100938.00,15140.70,116078.70,
25835,7,183,2019-04-19,12822.00,1923.30,14745.30,
26440,4,184,2019-04-22,102750.00,15412.50,118162.50,
26443,7,185,2019-04-22,13036.00,1955.40,14991.40,
26446,4,186,2019-04-22,1068.00,160.20,1228.20,
26448,7,187,2019-04-22,192.00,28.80,220.80,
26768,4,188,2019-04-23,107706.00,16155.90,123861.90,
26771,7,189,2019-04-23,14292.00,2143.80,16435.80,
27126,4,190,2019-04-24,110748.00,16612.20,127360.20,
27129,7,191,2019-04-24,13458.40,2018.76,15477.16,
27388,4,192,2019-04-25,111144.00,16671.60,127815.60,
27391,7,193,2019-04-25,13590.00,2038.50,15628.50,
27568,4,194,2019-04-26,110904.00,16635.60,127539.60,
27571,7,195,2019-04-26,13140.40,1971.06,15111.46,
28130,4,196,2019-04-29,110856.00,16628.40,127484.40,
28133,7,197,2019-04-29,12460.40,1869.06,14329.46,
28137,4,198,2019-04-29,1728.00,259.20,1987.20,
28139,7,199,2019-04-29,537.60,80.64,618.24,
28380,4,200,2019-04-30,110700.00,16605.00,127305.00,
28383,7,201,2019-04-30,12098.80,1814.82,13913.62,
28756,4,202,2019-05-01,110394.00,16559.10,126953.10,
28759,7,203,2019-05-01,11588.80,1738.32,13327.12,
29022,4,204,2019-05-02,114690.00,17203.50,131893.50,
29025,7,205,2019-05-02,11709.60,1756.44,13466.04,
29401,4,206,2019-05-03,117900.00,17685.00,135585.00,
29404,7,207,2019-05-03,11770.00,1765.50,13535.50,
29889,4,208,2019-05-06,120684.00,18102.60,138786.60,
29892,7,209,2019-05-06,12466.40,1869.96,14336.36,
29895,4,210,2019-05-06,924.00,138.60,1062.60,
30303,4,211,2019-05-07,123762.00,18564.30,142326.30,
30306,7,212,2019-05-07,11484.80,1722.72,13207.52,
30585,4,213,2019-05-08,124008.00,18601.20,142609.20,
30588,7,214,2019-05-08,10651.20,1597.68,12248.88,
30978,4,215,2019-05-09,130854.00,19628.10,150482.10,
30981,7,216,2019-05-09,10667.60,1600.14,12267.74,
31394,4,217,2019-05-10,133044.00,19956.60,153000.60,
31397,7,218,2019-05-10,13826.40,2073.96,15900.36,
31821,4,219,2019-05-13,134700.00,20205.00,154905.00,
31824,7,220,2019-05-13,14884.80,2232.72,17117.52,
31827,4,221,2019-05-13,1044.00,156.60,1200.60,
32187,4,222,2019-05-14,134748.00,20212.20,154960.20,
32190,7,223,2019-05-14,13826.40,2073.96,15900.36,
32573,4,224,2019-05-15,137250.00,20587.50,157837.50,
32576,7,225,2019-05-15,13300.00,1995.00,15295.00,
32846,4,226,2019-05-16,137862.00,20679.30,158541.30,
32849,7,227,2019-05-16,14374.80,2156.22,16531.02,
33115,4,228,2019-05-17,138270.00,20740.50,159010.50,
33118,7,229,2019-05-17,13541.20,2031.18,15572.38,
33619,4,230,2019-05-20,140022.00,21003.30,161025.30,
33622,7,231,2019-05-20,15800.80,2370.12,18170.92,
33626,4,232,2019-05-20,1728.00,259.20,1987.20,
33628,7,233,2019-05-20,170.00,25.50,195.50,
33994,4,234,2019-05-21,142206.00,21330.90,163536.90,
33997,7,235,2019-05-21,17089.60,2563.44,19653.04,
34272,4,236,2019-05-22,143814.00,21572.10,165386.10,
34275,7,237,2019-05-22,16256.00,2438.40,18694.40,
34506,4,238,2019-05-23,145344.00,21801.60,167145.60,
34509,7,239,2019-05-23,15499.20,2324.88,17824.08,
34842,4,240,2019-05-24,146220.00,21933.00,168153.00,
34845,7,241,2019-05-24,14972.80,2245.92,17218.72,
35266,4,242,2019-05-27,150252.00,22537.80,172789.80,
35270,7,243,2019-05-27,15473.20,2320.98,17794.18,
35272,4,244,2019-05-27,96.00,14.40,110.40,
35274,7,245,2019-05-27,499.20,74.88,574.08,
35599,4,246,2019-05-28,151128.00,22669.20,173797.20,
35602,7,247,2019-05-28,14671.20,2200.68,16871.88,
36009,4,248,2019-05-29,155178.00,23276.70,178454.70,
36012,7,249,2019-05-29,15998.40,2399.76,18398.16,
36212,4,250,2019-05-30,156474.00,23471.10,179945.10,
36215,7,251,2019-05-30,15318.40,2297.76,17616.16,
36611,4,252,2019-05-31,161358.00,24203.70,185561.70,
36614,7,253,2019-05-31,16014.80,2402.22,18417.02,
37110,4,254,2019-06-03,163950.00,24592.50,188542.50,
37113,7,255,2019-06-03,19091.20,2863.68,21954.88,
37116,4,256,2019-06-03,1830.00,274.50,2104.50,
37486,4,257,2019-06-04,168192.00,25228.80,193420.80,
37490,7,258,2019-06-04,18695.20,2804.28,21499.48,
37804,4,259,2019-06-05,170472.00,25570.80,196042.80,
37808,7,260,2019-06-05,17645.60,2646.84,20292.44,
38213,4,261,2019-06-06,172620.00,25893.00,198513.00,
38217,7,262,2019-06-06,17229.60,2584.44,19814.04,
38610,4,263,2019-06-07,175206.00,26280.90,201486.90,
38614,7,264,2019-06-07,17770.40,2665.56,20435.96,
39143,4,265,2019-06-10,176988.00,26548.20,203536.20,
39146,7,266,2019-06-10,17983.60,2697.54,20681.14,
39150,4,267,2019-06-10,1854.00,278.10,2132.10,
39152,7,268,2019-06-10,307.20,46.08,353.28,
39498,4,269,2019-06-11,180738.00,27110.70,207848.70,
39501,7,270,2019-06-11,16793.60,2519.04,19312.64,
39804,4,271,2019-06-12,182436.00,27365.40,209801.40,
39807,7,272,2019-06-12,15960.00,2394.00,18354.00,
40036,4,273,2019-06-13,181566.00,27234.90,208800.90,
40039,7,274,2019-06-13,15203.20,2280.48,17483.68,
40335,4,275,2019-06-14,181536.00,27230.40,208766.40,
40338,7,276,2019-06-14,15389.60,2308.44,17698.04,
40842,4,277,2019-06-17,183660.00,27549.00,211209.00,
40845,7,278,2019-06-17,14940.00,2241.00,17181.00,
40847,4,279,2019-06-17,336.00,50.40,386.40,
40849,7,280,2019-06-17,115.20,17.28,132.48,
41030,4,281,2019-06-18,182280.00,27342.00,209622.00,
41033,7,282,2019-06-18,14238.00,2135.70,16373.70,
41383,4,283,2019-06-19,182940.00,27441.00,210381.00,
41386,7,284,2019-06-19,13750.00,2062.50,15812.50,
41821,4,285,2019-06-20,184860.00,27729.00,212589.00,
41824,7,286,2019-06-20,12916.40,1937.46,14853.86,
42225,4,287,2019-06-21,184296.00,27644.40,211940.40,
42228,7,288,2019-06-21,12592.80,1888.92,14481.72,
42732,4,289,2019-06-24,186072.00,27910.80,213982.80,
42735,7,290,2019-06-24,12198.00,1829.70,14027.70,
42741,4,291,2019-06-24,2460.00,369.00,2829.00,
42743,7,292,2019-06-24,153.60,23.04,176.64,
43001,4,293,2019-06-25,190116.00,28517.40,218633.40,
43004,7,294,2019-06-25,11194.40,1679.16,12873.56,
43429,4,295,2019-06-26,193920.00,29088.00,223008.00,
43432,7,296,2019-06-26,12230.80,1834.62,14065.42,
43705,4,297,2019-06-27,194076.00,29111.40,223187.40,
43708,7,298,2019-06-27,11397.20,1709.58,13106.78,
44068,4,299,2019-06-28,196278.00,29441.70,225719.70,
44071,7,300,2019-06-28,14024.00,2103.60,16127.60,
44740,4,301,2019-07-01,199206.00,29880.90,229086.90,
44743,7,302,2019-07-01,13228.80,1984.32,15213.12,
44747,4,303,2019-07-01,2514.00,377.10,2891.10,
44750,7,304,2019-07-01,472.80,70.92,543.72,
45158,4,305,2019-07-02,201642.00,30246.30,231888.30,
45161,7,306,2019-07-02,12998.40,1949.76,14948.16,
45516,4,307,2019-07-03,203400.00,30510.00,233910.00,
45519,7,308,2019-07-03,15471.60,2320.74,17792.34,
45824,4,309,2019-07-04,205944.00,30891.60,236835.60,
45827,7,310,2019-07-04,14983.60,2247.54,17231.14,
46181,4,311,2019-07-05,207408.00,31111.20,238519.20,
46185,7,312,2019-07-05,14522.00,2178.30,16700.30,
46696,4,313,2019-07-08,207960.00,31194.00,239154.00,
46699,7,314,2019-07-08,13508.40,2026.26,15534.66,
46703,4,315,2019-07-08,1326.00,198.90,1524.90,
46706,7,316,2019-07-08,412.80,61.92,474.72,
46959,4,317,2019-07-09,207858.00,31178.70,239036.70,
46962,7,318,2019-07-09,14643.60,2196.54,16840.14,
47375,4,319,2019-07-10,207702.00,31155.30,238857.30,
47378,7,320,2019-07-10,15850.00,2377.50,18227.50,
47786,4,321,2019-07-11,209166.00,31374.90,240540.90,
47789,7,322,2019-07-11,16606.80,2491.02,19097.82,
48188,4,323,2019-07-12,210534.00,31580.10,242114.10,
48191,7,324,2019-07-12,22886.00,3432.90,26318.90,
48579,4,325,2019-07-15,210306.00,31545.90,241851.90,
48582,7,326,2019-07-15,22052.40,3307.86,25360.26,
48585,4,327,2019-07-15,1848.00,277.20,2125.20,
48587,7,328,2019-07-15,76.80,11.52,88.32,
48994,4,329,2019-07-16,215178.00,32276.70,247454.70,
48997,7,330,2019-07-16,23012.00,3451.80,26463.80,
49410,4,331,2019-07-17,215970.00,32395.50,248365.50,
49413,7,332,2019-07-17,22732.40,3409.86,26142.26,
49846,4,333,2019-07-18,217032.00,32554.80,249586.80,
49849,7,334,2019-07-18,22469.20,3370.38,25839.58,
50153,4,335,2019-07-19,220422.00,33063.30,253485.30,
50156,7,336,2019-07-19,22052.40,3307.86,25360.26,
50690,4,337,2019-07-22,221862.00,33279.30,255141.30,
50693,7,338,2019-07-22,21942.80,3291.42,25234.22,
50696,4,339,2019-07-22,1080.00,162.00,1242.00,
50925,4,340,2019-07-23,222114.00,33317.10,255431.10,
50928,7,341,2019-07-23,21301.20,3195.18,24496.38,
51357,4,342,2019-07-24,226920.00,34038.00,260958.00,
51360,7,343,2019-07-24,24504.00,3675.60,28179.60,
51678,4,344,2019-07-25,230052.00,34507.80,264559.80,
51681,7,345,2019-07-25,26165.60,3924.84,30090.44,
52009,4,346,2019-07-26,232230.00,34834.50,267064.50,
52012,7,347,2019-07-26,27679.20,4151.88,31831.08,
52423,4,348,2019-07-29,233940.00,35091.00,269031.00,
52426,7,349,2019-07-29,27300.80,4095.12,31395.92,
52431,4,350,2019-07-29,2394.00,359.10,2753.10,
52606,4,351,2019-07-30,236802.00,35520.30,272322.30,
52609,7,352,2019-07-30,26467.20,3970.08,30437.28,
52999,4,353,2019-07-31,241122.00,36168.30,277290.30,
53002,7,354,2019-07-31,26280.80,3942.12,30222.92,
53296,4,355,2019-08-01,241746.00,36261.90,278007.90,
53299,7,356,2019-08-01,25864.00,3879.60,29743.60,
53485,4,357,2019-08-02,242508.00,36376.20,278884.20,
53488,7,358,2019-08-02,26467.20,3970.08,30437.28,
54042,4,359,2019-08-05,245586.00,36837.90,282423.90,
54045,7,360,2019-08-05,27827.20,4174.08,32001.28,
54048,4,361,2019-08-05,1836.00,275.40,2111.40,
54050,7,362,2019-08-05,680.00,102.00,782.00,
54475,4,363,2019-08-06,249138.00,37370.70,286508.70,
54478,7,364,2019-08-06,28616.80,4292.52,32909.32,
54753,4,365,2019-08-07,250158.00,37523.70,287681.70,
54756,7,366,2019-08-07,28200.00,4230.00,32430.00,
54992,4,367,2019-08-08,251172.00,37675.80,288847.80,
54995,7,368,2019-08-08,28408.40,4261.26,32669.66,
55263,4,369,2019-08-09,252630.00,37894.50,290524.50,
55266,7,370,2019-08-09,28414.00,4262.10,32676.10,
55719,4,371,2019-08-12,252972.00,37945.80,290917.80,
55722,7,372,2019-08-12,30377.20,4556.58,34933.78,
55725,4,373,2019-08-12,564.00,84.60,648.60,
55727,7,374,2019-08-12,76.80,11.52,88.32,
56077,4,375,2019-08-13,255156.00,38273.40,293429.40,
56080,7,376,2019-08-13,30624.00,4593.60,35217.60,
56294,4,377,2019-08-14,256578.00,38486.70,295064.70,
56297,7,378,2019-08-14,30207.20,4531.08,34738.28,
56689,4,379,2019-08-15,262050.00,39307.50,301357.50,
56692,7,380,2019-08-15,31441.20,4716.18,36157.38,
56871,4,381,2019-08-16,262242.00,39336.30,301578.30,
56874,7,382,2019-08-16,31370.00,4705.50,36075.50,
57231,4,383,2019-08-19,260910.00,39136.50,300046.50,
57234,7,384,2019-08-19,30991.60,4648.74,35640.34,
57239,4,385,2019-08-19,1704.00,255.60,1959.60,
57241,7,386,2019-08-19,680.00,102.00,782.00,
57417,4,387,2019-08-20,260694.00,39104.10,299798.10,
57420,7,388,2019-08-20,31101.20,4665.18,35766.38,
57798,4,389,2019-08-21,267498.00,40124.70,307622.70,
57801,7,390,2019-08-21,35543.20,5331.48,40874.68,
58162,4,391,2019-08-22,269778.00,40466.70,310244.70,
58165,7,392,2019-08-22,37248.80,5587.32,42836.12,
58369,4,393,2019-08-23,269034.00,40355.10,309389.10,
58372,7,394,2019-08-23,36832.00,5524.80,42356.80,
58696,4,395,2019-08-26,268194.00,40229.10,308423.10,
58699,7,396,2019-08-26,36722.40,5508.36,42230.76,
58701,4,397,2019-08-26,672.00,100.80,772.80,
58704,7,398,2019-08-26,855.60,128.34,983.94,
59012,4,399,2019-08-27,270126.00,40518.90,310644.90,
59015,7,400,2019-08-27,38351.20,5752.68,44103.88,
59276,4,401,2019-08-28,271254.00,40688.10,311942.10,
59279,7,402,2019-08-28,39464.40,5919.66,45384.06,
59643,4,403,2019-08-29,271602.00,40740.30,312342.30,
59646,7,404,2019-08-29,39047.60,5857.14,44904.74,
59890,4,405,2019-08-30,271896.00,40784.40,312680.40,
59893,7,406,2019-08-30,40670.80,6100.62,46771.42,
60349,4,407,2019-09-02,273060.00,40959.00,314019.00,
60352,7,408,2019-09-02,40254.00,6038.10,46292.10,
60354,4,409,2019-09-02,576.00,86.40,662.40,
60357,7,410,2019-09-02,570.40,85.56,655.96,
60526,4,411,2019-09-03,272244.00,40836.60,313080.60,
60529,7,412,2019-09-03,42447.60,6367.14,48814.74,
60810,4,413,2019-09-04,273360.00,41004.00,314364.00,
60813,7,414,2019-09-04,42902.80,6435.42,49338.22,
61142,4,415,2019-09-05,276138.00,41420.70,317558.70,
61145,7,416,2019-09-05,42486.00,6372.90,48858.90,
61553,4,417,2019-09-06,283824.00,42573.60,326397.60,
61556,7,418,2019-09-06,42069.20,6310.38,48379.58,
61982,4,419,2019-09-09,286884.00,43032.60,329916.60,
61985,7,420,2019-09-09,42562.80,6384.42,48947.22,
61989,4,421,2019-09-09,2184.00,327.60,2511.60,
62205,4,422,2019-09-10,292020.00,43803.00,335823.00,
62208,7,423,2019-09-10,44323.20,6648.48,50971.68,
62637,4,424,2019-09-11,293646.00,44046.90,337692.90,
62640,7,425,2019-09-11,44762.00,6714.30,51476.30,
62939,4,426,2019-09-12,292860.00,43929.00,336789.00,
62942,7,427,2019-09-12,44515.20,6677.28,51192.48,
63225,4,428,2019-09-13,293526.00,44028.90,337554.90,
63228,7,429,2019-09-13,45348.80,6802.32,52151.12,
63608,4,430,2019-09-16,295254.00,44288.10,339542.10,
63611,7,431,2019-09-16,44932.00,6739.80,51671.80,
63615,4,432,2019-09-16,1398.00,209.70,1607.70,
64029,4,433,2019-09-17,300822.00,45123.30,345945.30,
64032,7,434,2019-09-17,44444.00,6666.60,51110.60,
64343,4,435,2019-09-18,302886.00,45432.90,348318.90,
64346,7,436,2019-09-18,45710.80,6856.62,52567.42,
64745,4,437,2019-09-19,305994.00,45899.10,351893.10,
64748,7,438,2019-09-19,46692.40,7003.86,53696.26,
65185,4,439,2019-09-20,310644.00,46596.60,357240.60,
65188,7,440,2019-09-20,46467.60,6970.14,53437.74,
65500,4,441,2019-09-23,311232.00,46684.80,357916.80,
65503,7,442,2019-09-23,46390.80,6958.62,53349.42,
65505,4,443,2019-09-23,1344.00,201.60,1545.60,
65903,4,444,2019-09-24,312252.00,46837.80,359089.80,
65906,7,445,2019-09-24,47087.20,7063.08,54150.28,
66306,4,446,2019-09-25,319176.00,47876.40,367052.40,
66309,7,447,2019-09-25,49450.80,7417.62,56868.42,
66729,4,448,2019-09-26,319728.00,47959.20,367687.20,
66732,7,449,2019-09-26,50174.80,7526.22,57701.02,
67009,4,450,2019-09-27,320592.00,48088.80,368680.80,
67012,7,451,2019-09-27,50931.60,7639.74,58571.34,
67448,4,452,2019-09-30,323166.00,48474.90,371640.90,
67451,7,453,2019-09-30,50514.80,7577.22,58092.02,
67453,7,454,2019-09-30,1530.00,229.50,1759.50,
67686,4,455,2019-10-01,321990.00,48298.50,370288.50,
67689,7,456,2019-10-01,52165.60,7824.84,59990.44,
68114,4,457,2019-10-02,323220.00,48483.00,371703.00,
68117,7,458,2019-10-02,54189.20,8128.38,62317.58,
68344,4,459,2019-10-03,321804.00,48270.60,370074.60,
68347,7,460,2019-10-03,53772.40,8065.86,61838.26,
68516,4,461,2019-10-04,323514.00,48527.10,372041.10,
68519,7,462,2019-10-04,53871.20,8080.68,61951.88,
68889,4,463,2019-10-07,323604.00,48540.60,372144.60,
68892,7,464,2019-10-07,55500.00,8325.00,63825.00,
68897,4,465,2019-10-07,2310.00,346.50,2656.50,
68899,7,466,2019-10-07,1360.00,204.00,1564.00,
69140,4,467,2019-10-08,327564.00,49134.60,376698.60,
